n, c, k, t_tot, dt_prim, dt_sec, mean_t_sec, dev_t_sec, m_tot, dm_prim, dm_sec, mean_m_sec, dev_m_sec
10000000, 1.000000, 3.916667, 88534478, 24261883.000000, 64272595.000000, 6.427259, 39.168158, 639910016.000000, 560000000.000000, 79910016.000000, 7.991002, 13.228925
10000000, 2.375000, 3.333333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.250000, 3.333333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.125000, 3.333333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.000000, 3.333333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.875000, 3.333333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 4.000000, 3.041667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.875000, 3.041667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.750000, 3.041667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.500000, 3.625000, 87233843, 25631432.000000, 61602411.000000, 6.160241, 35.376591, 688567920.000000, 560000000.000000, 128567920.000000, 12.856792, 19.988920
10000000, 3.625000, 3.041667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.750000, 3.625000, 92090657, 25920794.000000, 66169863.000000, 6.616986, 34.444996, 704202008.000000, 560000000.000000, 144202008.000000, 14.420201, 23.193442
10000000, 1.625000, 3.625000, 93304964, 26103364.000000, 67201600.000000, 6.720160, 37.439204, 700081984.000000, 560000000.000000, 140081984.000000, 14.008198, 21.810081
10000000, 1.375000, 3.625000, 92395580, 26256447.000000, 66139133.000000, 6.613913, 34.905752, 684385040.000000, 560000000.000000, 124385040.000000, 12.438504, 18.556347
10000000, 1.250000, 3.625000, 93157250, 26287019.000000, 66870231.000000, 6.687023, 42.754734, 672883360.000000, 560000000.000000, 112883360.000000, 11.288336, 16.740685
10000000, 1.125000, 3.625000, 90809876, 25197933.000000, 65611943.000000, 6.561194, 32.920748, 706281000.000000, 560000000.000000, 146281000.000000, 14.628100, 28.241702
10000000, 1.000000, 3.625000, 90826876, 25294996.000000, 65531880.000000, 6.553188, 31.188637, 639895376.000000, 560000000.000000, 79895376.000000, 7.989538, 13.222926
10000000, 3.500000, 3.041667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.375000, 3.041667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.250000, 3.041667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.125000, 3.041667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.000000, 3.041667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.625000, 6.541667, 88791840, 25385650.000000, 63406190.000000, 6.340619, 34.604566, 779968972.000000, 560000000.000000, 219968972.000000, 21.996897, 35.065261
10000000, 2.750000, 3.041667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.500000, 3.041667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.625000, 3.041667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.375000, 3.041667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.250000, 3.041667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.125000, 3.041667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.000000, 3.041667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.875000, 3.041667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.625000, 3.041667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.750000, 3.041667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.875000, 2.750000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.750000, 2.750000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.625000, 2.750000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
